fra;jour;n_dose1;n_complet;n_rappel;n_2_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;n_cum_2_rappel;couv_dose1;couv_complet;couv_rappel;couv_2_rappel
FR;2020-12-27;602;55;0;0;602;55;0;0;0.0;0.0;0.0;0.0
FR;2020-12-28;669;42;0;0;1271;97;0;0;0.0;0.0;0.0;0.0
FR;2020-12-29;374;19;0;0;1645;116;0;0;0.0;0.0;0.0;0.0
FR;2020-12-30;440;18;0;0;2085;134;0;0;0.0;0.0;0.0;0.0
FR;2020-12-31;436;24;0;0;2521;158;0;0;0.0;0.0;0.0;0.0
FR;2021-01-01;1137;65;0;0;3658;223;0;0;0.0;0.0;0.0;0.0
FR;2021-01-02;359;30;0;0;4017;253;0;0;0.0;0.0;0.0;0.0
FR;2021-01-03;402;27;0;0;4419;280;0;0;0.0;0.0;0.0;0.0
FR;2021-01-04;2093;48;0;0;6512;328;0;0;0.0;0.0;0.0;0.0
FR;2021-01-05;7732;130;0;0;14244;458;0;0;0.0;0.0;0.0;0.0
FR;2021-01-06;12449;121;0;0;26693;579;0;0;0.0;0.0;0.0;0.0
FR;2021-01-07;29449;156;0;0;56142;735;0;0;0.1;0.0;0.0;0.0
FR;2021-01-08;37123;198;0;0;93265;933;0;0;0.1;0.0;0.0;0.0
FR;2021-01-09;11209;75;0;0;104474;1008;0;0;0.2;0.0;0.0;0.0
FR;2021-01-10;5997;24;0;0;110471;1032;0;0;0.2;0.0;0.0;0.0
FR;2021-01-11;39925;223;0;0;150396;1255;0;0;0.2;0.0;0.0;0.0
FR;2021-01-12;62127;311;0;0;212523;1566;0;0;0.3;0.0;0.0;0.0
FR;2021-01-13;65110;426;0;0;277633;1992;0;0;0.4;0.0;0.0;0.0
FR;2021-01-14;83118;1191;0;0;360751;3183;0;0;0.5;0.0;0.0;0.0
FR;2021-01-15;68994;560;0;0;429745;3743;0;0;0.6;0.0;0.0;0.0
FR;2021-01-16;20208;185;0;0;449953;3928;0;0;0.7;0.0;0.0;0.0
FR;2021-01-17;10977;132;0;0;460930;4060;0;0;0.7;0.0;0.0;0.0
FR;2021-01-18;85886;611;0;0;546816;4671;0;0;0.8;0.0;0.0;0.0
FR;2021-01-19;130576;865;0;0;677392;5536;0;0;1.0;0.0;0.0;0.0
FR;2021-01-20;137527;849;0;0;814919;6385;0;0;1.2;0.0;0.0;0.0
FR;2021-01-21;158379;968;0;0;973298;7353;0;0;1.5;0.0;0.0;0.0
FR;2021-01-22;121046;838;0;0;1094344;8191;0;0;1.6;0.0;0.0;0.0
FR;2021-01-23;38467;205;0;0;1132811;8396;0;0;1.7;0.0;0.0;0.0
FR;2021-01-24;9740;139;0;0;1142551;8535;0;0;1.7;0.0;0.0;0.0
FR;2021-01-25;78224;1638;0;0;1220775;10173;0;0;1.8;0.0;0.0;0.0
FR;2021-01-26;100365;3772;0;0;1321140;13945;0;0;2.0;0.0;0.0;0.0
FR;2021-01-27;107223;6674;0;0;1428363;20619;0;0;2.1;0.0;0.0;0.0
FR;2021-01-28;124331;15905;0;0;1552694;36524;0;0;2.3;0.1;0.0;0.0
FR;2021-01-29;92173;18337;0;0;1644867;54861;0;0;2.5;0.1;0.0;0.0
FR;2021-01-30;29114;4430;0;0;1673981;59291;0;0;2.5;0.1;0.0;0.0
FR;2021-01-31;5228;1779;0;0;1679209;61070;0;0;2.5;0.1;0.0;0.0
FR;2021-02-01;53108;21798;0;0;1732317;82868;0;0;2.6;0.1;0.0;0.0
FR;2021-02-02;72283;36305;0;0;1804600;119173;0;0;2.7;0.2;0.0;0.0
FR;2021-02-03;72291;38587;0;0;1876891;157760;0;0;2.8;0.2;0.0;0.0
