fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-11-01-2021-11-07;63826.00;513.00;0.80;479.00;0.00;0.00;14.00;466.00;97.08;30.00;1.00;3.23;14.00;479.00;2.92
FR;2021-11-02-2021-11-08;79210.00;746.00;0.94;708.00;0.00;0.00;17.00;693.00;97.61;35.00;2.00;5.41;17.00;708.00;2.40
FR;2021-11-03-2021-11-09;78491.00;828.00;1.05;786.00;0.00;0.00;19.00;769.00;97.59;34.00;1.00;2.86;18.00;786.00;2.29
FR;2021-11-04-2021-11-10;82295.00;960.00;1.17;910.00;0.00;0.00;28.00;884.00;96.93;31.00;3.00;8.82;27.00;910.00;2.97
FR;2021-11-05-2021-11-11;74629.00;886.00;1.19;844.00;0.00;0.00;27.00;819.00;96.81;33.00;3.00;8.33;26.00;844.00;3.08
FR;2021-11-06-2021-11-12;83607.00;957.00;1.14;916.00;0.00;0.00;32.00;886.00;96.51;50.00;4.00;7.41;31.00;916.00;3.38
FR;2021-11-07-2021-11-13;87270.00;1016.00;1.16;971.00;0.00;0.00;32.00;941.00;96.71;54.00;4.00;6.90;31.00;971.00;3.19
FR;2021-11-08-2021-11-14;88359.00;1034.00;1.17;988.00;0.00;0.00;32.00;958.00;96.77;55.00;4.00;6.78;31.00;988.00;3.14
FR;2021-11-09-2021-11-15;99184.00;1299.00;1.31;1235.00;0.00;0.00;36.00;1204.00;97.10;59.00;3.00;4.84;35.00;1234.00;2.84
FR;2021-11-10-2021-11-16;109104.00;1631.00;1.49;1554.00;0.00;0.00;35.00;1525.00;97.76;59.00;3.00;4.84;35.00;1553.00;2.25
FR;2021-11-11-2021-11-17;118885.00;1907.00;1.60;1821.00;0.00;0.00;27.00;1804.00;98.53;65.00;1.00;1.52;27.00;1820.00;1.48
FR;2021-11-12-2021-11-18;141795.00;2030.00;1.43;1930.00;0.00;0.00;32.00;1910.00;98.35;67.00;3.00;4.29;32.00;1929.00;1.66
FR;2021-11-13-2021-11-19;149482.00;2082.00;1.39;1972.00;0.00;0.00;34.00;1951.00;98.29;58.00;4.00;6.45;34.00;1970.00;1.73
FR;2021-11-14-2021-11-20;157822.00;2080.00;1.32;1973.00;0.00;0.00;34.00;1951.00;98.29;59.00;4.00;6.35;34.00;1970.00;1.73
FR;2021-11-15-2021-11-21;159487.00;2113.00;1.32;1993.00;0.00;0.00;36.00;1971.00;98.21;65.00;4.00;5.80;36.00;1990.00;1.81
FR;2021-11-16-2021-11-22;175796.00;3123.00;1.78;2811.00;10.00;0.35;76.00;2786.00;97.34;79.00;5.00;5.95;74.00;2817.00;2.63
FR;2021-11-17-2021-11-23;190534.00;3068.00;1.61;2702.00;11.00;0.41;87.00;2678.00;96.85;91.00;6.00;6.19;85.00;2709.00;3.14
FR;2021-11-18-2021-11-24;206400.00;3319.00;1.61;2868.00;12.00;0.42;112.00;2824.00;96.19;102.00;7.00;6.42;109.00;2872.00;3.80
FR;2021-11-19-2021-11-25;223114.00;4622.00;2.07;3983.00;12.00;0.30;164.00;3899.00;95.96;147.00;11.00;6.96;161.00;3982.00;4.04
FR;2021-11-20-2021-11-26;240672.00;6740.00;2.80;5792.00;14.00;0.24;213.00;5669.00;96.38;212.00;13.00;5.78;207.00;5789.00;3.58
