fra;semaine;nb_crib;nb_pos;tx_crib;nb_A0;nb_A1;tx_A1;nb_B0;nb_B1;tx_B1;nb_C0;nb_C1;tx_C1
FR;2021-05-31-2021-06-06;18448.00;61989.00;29.80;13243.00;2687.00;16.90;5887.00;23.00;0.40;5552.00;123.00;2.20
FR;2021-06-01-2021-06-07;18283.00;56471.00;32.40;12971.00;2834.00;17.90;6181.00;24.00;0.40;5876.00;166.00;2.70
FR;2021-06-02-2021-06-08;18142.00;52671.00;34.40;12733.00;2965.00;18.90;6463.00;32.00;0.50;6232.00;211.00;3.30
FR;2021-06-03-2021-06-09;17751.00;48385.00;36.70;12302.00;3013.00;19.70;6735.00;36.00;0.50;6460.00;277.00;4.10
FR;2021-06-04-2021-06-10;16944.00;44254.00;38.30;11640.00;2933.00;20.10;6987.00;44.00;0.60;6710.00;306.00;4.40
FR;2021-06-05-2021-06-11;16443.00;40649.00;40.50;11231.00;2896.00;20.50;7063.00;45.00;0.60;6784.00;322.00;4.50
FR;2021-06-06-2021-06-12;16179.00;38354.00;42.20;11046.00;2819.00;20.30;7177.00;43.00;0.60;6874.00;360.00;5.00
FR;2021-06-07-2021-06-13;16059.00;37824.00;42.50;10960.00;2794.00;20.30;7143.00;48.00;0.70;6840.00;366.00;5.10
FR;2021-06-08-2021-06-14;15157.00;33431.00;45.30;10317.00;2594.00;20.10;7517.00;60.00;0.80;7226.00;483.00;6.30
FR;2021-06-09-2021-06-15;14422.00;30686.00;47.00;9746.00;2461.00;20.20;7738.00;61.00;0.80;7410.00;570.00;7.10
FR;2021-06-10-2021-06-16;13796.00;28371.00;48.60;9388.00;2268.00;19.50;8049.00;71.00;0.90;7720.00;628.00;7.50
FR;2021-06-11-2021-06-17;13509.00;26572.00;50.80;9126.00;2264.00;19.90;8409.00;79.00;0.90;8033.00;746.00;8.50
FR;2021-06-12-2021-06-18;13014.00;24452.00;53.20;8727.00;2128.00;19.60;8622.00;86.00;1.00;8149.00;898.00;9.90
FR;2021-06-13-2021-06-19;12581.00;23399.00;53.80;8375.00;2081.00;19.90;8556.00;85.00;1.00;8066.00;932.00;10.40
FR;2021-06-14-2021-06-20;12485.00;23229.00;53.70;8310.00;2068.00;19.90;8552.00;82.00;0.90;8038.00;942.00;10.50
FR;2021-06-15-2021-06-21;11367.00;21331.00;53.30;7498.00;1874.00;20.00;7995.00;84.00;1.00;7349.00;1008.00;12.10
FR;2021-06-16-2021-06-22;10791.00;20071.00;53.80;7037.00;1800.00;20.40;7677.00;77.00;1.00;6932.00;1068.00;13.30
FR;2021-06-17-2021-06-23;10416.00;19222.00;54.20;6612.00;1830.00;21.70;7373.00;65.00;0.90;6514.00;1172.00;15.20
FR;2021-06-18-2021-06-24;10045.00;18359.00;54.70;6261.00;1851.00;22.80;7117.00;64.00;0.90;6134.00;1289.00;17.40
FR;2021-06-19-2021-06-25;9570.00;17586.00;54.40;5879.00;1820.00;23.60;6872.00;63.00;0.90;5769.00;1399.00;19.50
FR;2021-06-20-2021-06-26;9434.00;17279.00;54.60;5779.00;1797.00;23.70;6826.00;66.00;1.00;5629.00;1495.00;21.00
FR;2021-06-21-2021-06-27;9487.00;17292.00;54.90;5801.00;1826.00;23.90;6888.00;64.00;0.90;5660.00;1526.00;21.20
FR;2021-06-22-2021-06-28;9640.00;17329.00;55.60;5951.00;1856.00;23.80;7193.00;56.00;0.80;5530.00;1967.00;26.20
FR;2021-06-23-2021-06-29;9733.00;17575.00;55.40;6148.00;1794.00;22.60;7452.00;59.00;0.80;5472.00;2267.00;29.30
FR;2021-06-24-2021-06-30;10169.00;18442.00;55.10;6548.00;1810.00;21.70;8000.00;65.00;0.80;5548.00;2714.00;32.80
FR;2021-06-25-2021-07-01;10592.00;19297.00;54.90;6964.00;1818.00;20.70;8481.00;81.00;0.90;5546.00;3204.00;36.60
FR;2021-06-26-2021-07-02;11197.00;20469.00;54.70;7463.00;1905.00;20.30;9092.00;74.00;0.80;5582.00;3762.00;40.30
FR;2021-06-27-2021-07-03;11659.00;21475.00;54.30;7809.00;1959.00;20.10;9492.00;81.00;0.80;5615.00;4134.00;42.40
FR;2021-06-28-2021-07-04;11831.00;21835.00;54.20;7942.00;1977.00;19.90;9642.00;80.00;0.80;5651.00;4248.00;42.90
FR;2021-06-29-2021-07-05;13120.00;24017.00;54.60;9070.00;2024.00;18.20;10822.00;104.00;1.00;5787.00;5326.00;47.90
FR;2021-06-30-2021-07-06;14310.00;25945.00;55.20;10100.00;2102.00;17.20;11926.00;112.00;0.90;5925.00;6309.00;51.60
FR;2021-07-01-2021-07-07;15678.00;28262.00;55.50;11402.00;2139.00;15.80;13260.00;113.00;0.80;6051.00;7527.00;55.40
FR;2021-07-02-2021-07-08;16885.00;30481.00;55.40;12569.00;2097.00;14.30;14432.00;90.00;0.60;6147.00;8573.00;58.20
FR;2021-07-03-2021-07-09;18510.00;33027.00;56.00;14110.00;2071.00;12.80;15909.00;112.00;0.70;6282.00;9944.00;61.30
FR;2021-07-04-2021-07-10;19223.00;34655.00;55.50;14845.00;2060.00;12.20;16620.00;115.00;0.70;6289.00;10650.00;62.90
FR;2021-07-05-2021-07-11;19489.00;35249.00;55.30;15109.00;2048.00;11.90;16875.00;118.00;0.70;6257.00;10940.00;63.60
FR;2021-07-06-2021-07-12;22320.00;39931.00;55.90;17781.00;2052.00;10.30;19504.00;144.00;0.70;6425.00;13439.00;67.70
FR;2021-07-07-2021-07-13;25601.00;45845.00;55.80;20695.00;2069.00;9.10;22354.00;201.00;0.90;6616.00;16169.00;71.00
FR;2021-07-08-2021-07-14;23608.00;42987.00;54.90;19241.00;1776.00;8.50;20617.00;200.00;1.00;5718.00;15313.00;72.80
FR;2021-07-09-2021-07-15;30077.00;53690.00;56.00;25257.00;1884.00;6.90;26567.00;306.00;1.10;6290.00;20830.00;76.80
FR;2021-07-10-2021-07-16;35661.00;63011.00;56.60;30369.00;2000.00;6.20;31558.00;468.00;1.50;6745.00;25584.00;79.10
FR;2021-07-11-2021-07-17;39099.00;70462.00;55.50;33469.00;2045.00;5.80;34567.00;581.00;1.70;6921.00;28575.00;80.50
FR;2021-07-12-2021-07-18;40191.00;72898.00;55.10;34458.00;2086.00;5.70;35563.00;599.00;1.70;7010.00;29508.00;80.80
FR;2021-07-13-2021-07-19;50650.00;90355.00;56.10;44340.00;2210.00;4.70;45067.00;1000.00;2.20;7634.00;38867.00;83.60
FR;2021-07-14-2021-07-20;59271.00;105252.00;56.30;52422.00;2261.00;4.10;52941.00;1158.00;2.10;8110.00;46536.00;85.20
FR;2021-07-15-2021-07-21;73661.00;130190.00;56.60;65313.00;2612.00;3.80;65732.00;1484.00;2.20;9366.00;58679.00;86.20
FR;2021-07-16-2021-07-22;80670.00;139584.00;57.80;71533.00;2496.00;3.40;71730.00;1613.00;2.20;9232.00;65240.00;87.60
