epci2020;sg;cage65;cl_age65;Ti
200023414;2022-05-16-2022-05-22;[65-Inf);65;279,34
200023414;2022-05-17-2022-05-23;[65-Inf);65;237,98
200023414;2022-05-18-2022-05-24;[65-Inf);65;222,68
200023414;2022-05-19-2022-05-25;[65-Inf);65;219,69
200023414;2022-05-20-2022-05-26;[65-Inf);65;188,64
200023414;2022-05-21-2022-05-27;[65-Inf);65;178,97
200023414;2022-05-22-2022-05-28;[65-Inf);65;180,82
200023414;2022-05-23-2022-05-29;[65-Inf);65;181,87
200023414;2022-05-24-2022-05-30;[65-Inf);65;208,58
200023414;2022-05-25-2022-05-31;[65-Inf);65;214,17
200023414;2022-05-26-2022-06-01;[65-Inf);65;228,21
200023414;2022-05-27-2022-06-02;[65-Inf);65;261,24
200023414;2022-05-28-2022-06-03;[65-Inf);65;268,28
200023414;2022-05-29-2022-06-04;[65-Inf);65;269,94
200023414;2022-05-30-2022-06-05;[65-Inf);65;267,57
200023414;2022-05-31-2022-06-06;[65-Inf);65;204,26
200023414;2022-06-01-2022-06-07;[65-Inf);65;263,70
200023414;2022-06-02-2022-06-08;[65-Inf);65;271,03
200023414;2022-06-03-2022-06-09;[65-Inf);65;285,01
200023414;2022-06-04-2022-06-10;[65-Inf);65;301,89
200023414;2022-06-05-2022-06-11;[65-Inf);65;311,58
200023414;2022-06-06-2022-06-12;[65-Inf);65;316,03
200023414;2022-06-07-2022-06-13;[65-Inf);65;421,71
200023414;2022-06-08-2022-06-14;[65-Inf);65;402,84
200023414;2022-06-09-2022-06-15;[65-Inf);65;438,60
200023414;2022-06-10-2022-06-16;[65-Inf);65;450,57
200023414;2022-06-11-2022-06-17;[65-Inf);65;469,96
200030195;2022-05-16-2022-05-22;[65-Inf);65;274,67
200030195;2022-05-17-2022-05-23;[65-Inf);65;270,21
200030195;2022-05-18-2022-05-24;[65-Inf);65;271,82
200030195;2022-05-19-2022-05-25;[65-Inf);65;278,10
200030195;2022-05-20-2022-05-26;[65-Inf);65;249,75
200030195;2022-05-21-2022-05-27;[65-Inf);65;270,01
200030195;2022-05-22-2022-05-28;[65-Inf);65;258,29
200030195;2022-05-23-2022-05-29;[65-Inf);65;256,90
200030195;2022-05-24-2022-05-30;[65-Inf);65;253,42
200030195;2022-05-25-2022-05-31;[65-Inf);65;230,87
200030195;2022-05-26-2022-06-01;[65-Inf);65;231,12
200030195;2022-05-27-2022-06-02;[65-Inf);65;256,05
200030195;2022-05-28-2022-06-03;[65-Inf);65;247,46
200030195;2022-05-29-2022-06-04;[65-Inf);65;260,68
200030195;2022-05-30-2022-06-05;[65-Inf);65;265,45
200030195;2022-05-31-2022-06-06;[65-Inf);65;219,33
200030195;2022-06-01-2022-06-07;[65-Inf);65;285,47
200030195;2022-06-02-2022-06-08;[65-Inf);65;291,74
200030195;2022-06-03-2022-06-09;[65-Inf);65;312,11
200030195;2022-06-04-2022-06-10;[65-Inf);65;321,47
200030195;2022-06-05-2022-06-11;[65-Inf);65;335,86
200030195;2022-06-06-2022-06-12;[65-Inf);65;337,40
200030195;2022-06-07-2022-06-13;[65-Inf);65;430,21
200030195;2022-06-08-2022-06-14;[65-Inf);65;421,14
200030195;2022-06-09-2022-06-15;[65-Inf);65;454,14
200030195;2022-06-10-2022-06-16;[65-Inf);65;460,99
200030195;2022-06-11-2022-06-17;[65-Inf);65;476,84
200039865;2022-05-16-2022-05-22;[65-Inf);65;208,33
200039865;2022-05-17-2022-05-23;[65-Inf);65;208,34
200039865;2022-05-18-2022-05-24;[65-Inf);65;196,78
200039865;2022-05-19-2022-05-25;[65-Inf);65;196,43
200039865;2022-05-20-2022-05-26;[65-Inf);65;170,99
200039865;2022-05-21-2022-05-27;[65-Inf);65;206,23
200039865;2022-05-22-2022-05-28;[65-Inf);65;206,71
200039865;2022-05-23-2022-05-29;[65-Inf);65;206,71
