fra;sg;cage_scol;cl_age18;pop;P;T;Ti;Tp;Td
FR;2020-05-07-2020-05-13;[00-03);02;2153747,25;4,00;435,00;0,19;0,92;20,20
FR;2020-05-08-2020-05-14;[00-03);02;2153747,25;14,00;971,00;0,65;1,44;45,08
FR;2020-05-09-2020-05-15;[00-03);02;2153747,25;16,00;1699,00;0,74;0,94;78,89
FR;2020-05-10-2020-05-16;[00-03);02;2153747,25;18,00;2036,00;0,84;0,88;94,53
FR;2020-05-11-2020-05-17;[00-03);02;2153747,25;21,00;2263,00;0,98;0,93;105,07
FR;2020-05-12-2020-05-18;[00-03);02;2153747,25;39,00;2998,00;1,81;1,30;139,20
FR;2020-05-13-2020-05-19;[00-03);02;2153747,25;45,00;3790,00;2,09;1,19;175,97
FR;2020-05-14-2020-05-20;[00-03);02;2153747,25;50,00;4247,00;2,32;1,18;197,19
FR;2020-05-15-2020-05-21;[00-03);02;2153747,25;43,00;4029,00;2,00;1,07;187,07
FR;2020-05-16-2020-05-22;[00-03);02;2153747,25;50,00;4155,00;2,32;1,20;192,92
FR;2020-05-17-2020-05-23;[00-03);02;2153747,25;48,00;4243,00;2,23;1,13;197,01
FR;2020-05-18-2020-05-24;[00-03);02;2153747,25;47,00;4256,00;2,18;1,10;197,61
FR;2020-05-19-2020-05-25;[00-03);02;2153747,25;32,00;4355,00;1,49;0,73;202,21
FR;2020-05-20-2020-05-26;[00-03);02;2153747,25;42,00;4487,00;1,95;0,94;208,33
FR;2020-05-21-2020-05-27;[00-03);02;2153747,25;37,00;4405,00;1,72;0,84;204,53
FR;2020-05-22-2020-05-28;[00-03);02;2153747,25;37,00;4883,00;1,72;0,76;226,72
FR;2020-05-23-2020-05-29;[00-03);02;2153747,25;39,00;4937,00;1,81;0,79;229,23
FR;2020-05-24-2020-05-30;[00-03);02;2153747,25;44,00;5064,00;2,04;0,87;235,13
FR;2020-05-25-2020-05-31;[00-03);02;2153747,25;44,00;5124,00;2,04;0,86;237,91
FR;2020-05-26-2020-06-01;[00-03);02;2153747,25;43,00;4573,00;2,00;0,94;212,33
FR;2020-05-27-2020-06-02;[00-03);02;2153747,25;32,00;4435,00;1,49;0,72;205,92
FR;2020-05-28-2020-06-03;[00-03);02;2153747,25;34,00;4449,00;1,58;0,76;206,57
FR;2020-05-29-2020-06-04;[00-03);02;2153747,25;38,00;4411,00;1,76;0,86;204,81
FR;2020-05-30-2020-06-05;[00-03);02;2153747,25;28,00;4259,00;1,30;0,66;197,75
FR;2020-05-31-2020-06-06;[00-03);02;2153747,25;28,00;4078,00;1,30;0,69;189,34
FR;2020-06-01-2020-06-07;[00-03);02;2153747,25;27,00;4029,00;1,25;0,67;187,07
FR;2020-06-02-2020-06-08;[00-03);02;2153747,25;32,00;4450,00;1,49;0,72;206,62
FR;2020-06-03-2020-06-09;[00-03);02;2153747,25;39,00;4350,00;1,81;0,90;201,97
FR;2020-06-04-2020-06-10;[00-03);02;2153747,25;41,00;4220,00;1,90;0,97;195,94
FR;2020-06-05-2020-06-11;[00-03);02;2153747,25;54,00;4085,00;2,51;1,32;189,67
FR;2020-06-06-2020-06-12;[00-03);02;2153747,25;68,00;4055,00;3,16;1,68;188,28
FR;2020-06-07-2020-06-13;[00-03);02;2153747,25;66,00;4065,00;3,06;1,62;188,74
FR;2020-06-08-2020-06-14;[00-03);02;2153747,25;70,00;4036,00;3,25;1,73;187,39
FR;2020-06-09-2020-06-15;[00-03);02;2153747,25;73,00;4033,00;3,39;1,81;187,26
FR;2020-06-10-2020-06-16;[00-03);02;2153747,25;70,00;4053,00;3,25;1,73;188,18
FR;2020-06-11-2020-06-17;[00-03);02;2153747,25;78,00;4036,00;3,62;1,93;187,39
FR;2020-06-12-2020-06-18;[00-03);02;2153747,25;82,00;4063,00;3,81;2,02;188,65
FR;2020-06-13-2020-06-19;[00-03);02;2153747,25;81,00;4062,00;3,76;1,99;188,60
FR;2020-06-14-2020-06-20;[00-03);02;2153747,25;85,00;4042,00;3,95;2,10;187,67
FR;2020-06-15-2020-06-21;[00-03);02;2153747,25;83,00;3997,00;3,85;2,08;185,58
FR;2020-06-16-2020-06-22;[00-03);02;2153747,25;80,00;4036,00;3,71;1,98;187,39
FR;2020-06-17-2020-06-23;[00-03);02;2153747,25;78,00;4149,00;3,62;1,88;192,64
FR;2020-06-18-2020-06-24;[00-03);02;2153747,25;67,00;4325,00;3,11;1,55;200,81
FR;2020-06-19-2020-06-25;[00-03);02;2153747,25;52,00;4464,00;2,41;1,16;207,27
FR;2020-06-20-2020-06-26;[00-03);02;2153747,25;46,00;4868,00;2,14;0,94;226,02
FR;2020-06-21-2020-06-27;[00-03);02;2153747,25;49,00;5121,00;2,28;0,96;237,77
FR;2020-06-22-2020-06-28;[00-03);02;2153747,25;50,00;5232,00;2,32;0,96;242,93
FR;2020-06-23-2020-06-29;[00-03);02;2153747,25;57,00;5867,00;2,65;0,97;272,41
FR;2020-06-24-2020-06-30;[00-03);02;2153747,25;66,00;6439,00;3,06;1,03;298,97
FR;2020-06-25-2020-07-01;[00-03);02;2153747,25;79,00;6983,00;3,67;1,13;324,23
FR;2020-06-26-2020-07-02;[00-03);02;2153747,25;81,00;7655,00;3,76;1,06;355,43
FR;2020-06-27-2020-07-03;[00-03);02;2153747,25;86,00;8330,00;3,99;1,03;386,77
FR;2020-06-28-2020-07-04;[00-03);02;2153747,25;83,00;8546,00;3,85;0,97;396,80
FR;2020-06-29-2020-07-05;[00-03);02;2153747,25;80,00;8583,00;3,71;0,93;398,51
FR;2020-06-30-2020-07-06;[00-03);02;2153747,25;74,00;8810,00;3,44;0,84;409,05
FR;2020-07-01-2020-07-07;[00-03);02;2153747,25;62,00;9325,00;2,88;0,66;432,97
FR;2020-07-02-2020-07-08;[00-03);02;2153747,25;54,00;9621,00;2,51;0,56;446,71
FR;2020-07-03-2020-07-09;[00-03);02;2153747,25;61,00;10093,00;2,83;0,60;468,63
FR;2020-07-04-2020-07-10;[00-03);02;2153747,25;66,00;10595,00;3,06;0,62;491,93
FR;2020-07-05-2020-07-11;[00-03);02;2153747,25;66,00;10792,00;3,06;0,61;501,08
FR;2020-07-06-2020-07-12;[00-03);02;2153747,25;66,00;10866,00;3,06;0,61;504,52
FR;2020-07-07-2020-07-13;[00-03);02;2153747,25;76,00;11012,00;3,53;0,69;511,29
FR;2020-07-08-2020-07-14;[00-03);02;2153747,25;74,00;9499,00;3,44;0,78;441,05
FR;2020-07-09-2020-07-15;[00-03);02;2153747,25;73,00;9523,00;3,39;0,77;442,16
FR;2020-07-10-2020-07-16;[00-03);02;2153747,25;69,00;9442,00;3,20;0,73;438,40
FR;2020-07-11-2020-07-17;[00-03);02;2153747,25;59,00;9012,00;2,74;0,65;418,43
FR;2020-07-12-2020-07-18;[00-03);02;2153747,25;59,00;8906,00;2,74;0,66;413,51
FR;2020-07-13-2020-07-19;[00-03);02;2153747,25;59,00;8925,00;2,74;0,66;414,39
FR;2020-07-14-2020-07-20;[00-03);02;2153747,25;63,00;8784,00;2,93;0,72;407,85
FR;2020-07-15-2020-07-21;[00-03);02;2153747,25;75,00;10146,00;3,48;0,74;471,09
FR;2020-07-16-2020-07-22;[00-03);02;2153747,25;86,00;10055,00;3,99;0,86;466,86
FR;2020-07-17-2020-07-23;[00-03);02;2153747,25;86,00;9722,00;3,99;0,88;451,40
FR;2020-07-18-2020-07-24;[00-03);02;2153747,25;93,00;9475,00;4,32;0,98;439,93
FR;2020-07-19-2020-07-25;[00-03);02;2153747,25;95,00;9396,00;4,41;1,01;436,26
FR;2020-07-20-2020-07-26;[00-03);02;2153747,25;100,00;9409,00;4,64;1,06;436,87
FR;2020-07-21-2020-07-27;[00-03);02;2153747,25;96,00;9205,00;4,46;1,04;427,39
FR;2020-07-22-2020-07-28;[00-03);02;2153747,25;101,00;8956,00;4,69;1,13;415,83
FR;2020-07-23-2020-07-29;[00-03);02;2153747,25;94,00;8741,00;4,36;1,08;405,85
FR;2020-07-24-2020-07-30;[00-03);02;2153747,25;95,00;8547,00;4,41;1,11;396,84
FR;2020-07-25-2020-07-31;[00-03);02;2153747,25;103,00;8276,00;4,78;1,24;384,26
FR;2020-07-26-2020-08-01;[00-03);02;2153747,25;110,00;8205,00;5,11;1,34;380,96
FR;2020-07-27-2020-08-02;[00-03);02;2153747,25;111,00;8159,00;5,15;1,36;378,83
FR;2020-07-28-2020-08-03;[00-03);02;2153747,25;114,00;7929,00;5,29;1,44;368,15
FR;2020-07-29-2020-08-04;[00-03);02;2153747,25;117,00;7555,00;5,43;1,55;350,78
FR;2020-07-30-2020-08-05;[00-03);02;2153747,25;128,00;7247,00;5,94;1,77;336,48
FR;2020-07-31-2020-08-06;[00-03);02;2153747,25;133,00;7100,00;6,18;1,87;329,66
FR;2020-08-01-2020-08-07;[00-03);02;2153747,25;146,00;6855,00;6,78;2,13;318,28
FR;2020-08-02-2020-08-08;[00-03);02;2153747,25;146,00;6794,00;6,78;2,15;315,45
FR;2020-08-03-2020-08-09;[00-03);02;2153747,25;146,00;6791,00;6,78;2,15;315,31
FR;2020-08-04-2020-08-10;[00-03);02;2153747,25;156,00;6674,00;7,24;2,34;309,88
FR;2020-08-05-2020-08-11;[00-03);02;2153747,25;166,00;6574,00;7,71;2,53;305,24
FR;2020-08-06-2020-08-12;[00-03);02;2153747,25;170,00;6599,00;7,89;2,58;306,40
FR;2020-08-07-2020-08-13;[00-03);02;2153747,25;173,00;6658,00;8,03;2,60;309,14
FR;2020-08-08-2020-08-14;[00-03);02;2153747,25;173,00;6801,00;8,03;2,54;315,78
FR;2020-08-09-2020-08-15;[00-03);02;2153747,25;159,00;6525,00;7,38;2,44;302,96
FR;2020-08-10-2020-08-16;[00-03);02;2153747,25;159,00;6549,00;7,38;2,43;304,07
FR;2020-08-11-2020-08-17;[00-03);02;2153747,25;168,00;6682,00;7,80;2,51;310,25
FR;2020-08-12-2020-08-18;[00-03);02;2153747,25;172,00;6836,00;7,99;2,52;317,40
FR;2020-08-13-2020-08-19;[00-03);02;2153747,25;183,00;6826,00;8,50;2,68;316,94
FR;2020-08-14-2020-08-20;[00-03);02;2153747,25;215,00;6816,00;9,98;3,15;316,47
FR;2020-08-15-2020-08-21;[00-03);02;2153747,25;216,00;6854,00;10,03;3,15;318,24
FR;2020-08-16-2020-08-22;[00-03);02;2153747,25;226,00;7145,00;10,49;3,16;331,75
FR;2020-08-17-2020-08-23;[00-03);02;2153747,25;228,00;7131,00;10,59;3,20;331,10
FR;2020-08-18-2020-08-24;[00-03);02;2153747,25;242,00;7309,00;11,24;3,31;339,36
FR;2020-08-19-2020-08-25;[00-03);02;2153747,25;265,00;7357,00;12,30;3,60;341,59
FR;2020-08-20-2020-08-26;[00-03);02;2153747,25;279,00;7582,00;12,95;3,68;352,04
FR;2020-08-21-2020-08-27;[00-03);02;2153747,25;267,00;7702,00;12,40;3,47;357,61
FR;2020-08-22-2020-08-28;[00-03);02;2153747,25;282,00;7986,00;13,09;3,53;370,80
FR;2020-08-23-2020-08-29;[00-03);02;2153747,25;296,00;8092,00;13,74;3,66;375,72
FR;2020-08-24-2020-08-30;[00-03);02;2153747,25;302,00;8136,00;14,02;3,71;377,76
FR;2020-08-25-2020-08-31;[00-03);02;2153747,25;314,00;8236,00;14,58;3,81;382,40
FR;2020-08-26-2020-09-01;[00-03);02;2153747,25;317,00;8468,00;14,72;3,74;393,18
FR;2020-08-27-2020-09-02;[00-03);02;2153747,25;330,00;8621,00;15,32;3,83;400,28
FR;2020-08-28-2020-09-03;[00-03);02;2153747,25;372,00;8927,00;17,27;4,17;414,49
FR;2020-08-29-2020-09-04;[00-03);02;2153747,25;416,00;9527,00;19,32;4,37;442,35
FR;2020-08-30-2020-09-05;[00-03);02;2153747,25;436,00;10014,00;20,24;4,35;464,96
FR;2020-08-31-2020-09-06;[00-03);02;2153747,25;439,00;10167,00;20,38;4,32;472,06
FR;2020-09-01-2020-09-07;[00-03);02;2153747,25;496,00;11678,00;23,03;4,25;542,22
FR;2020-09-02-2020-09-08;[00-03);02;2153747,25;529,00;13488,00;24,56;3,92;626,26
FR;2020-09-03-2020-09-09;[00-03);02;2153747,25;550,00;14988,00;25,54;3,67;695,90
FR;2020-09-04-2020-09-10;[00-03);02;2153747,25;558,00;16617,00;25,91;3,36;771,54
FR;2020-09-05-2020-09-11;[00-03);02;2153747,25;554,00;17634,00;25,72;3,14;818,76
FR;2020-09-06-2020-09-12;[00-03);02;2153747,25;537,00;17650,00;24,93;3,04;819,50
FR;2020-09-07-2020-09-13;[00-03);02;2153747,25;537,00;17804,00;24,93;3,02;826,65
FR;2020-09-08-2020-09-14;[00-03);02;2153747,25;506,00;17391,00;23,49;2,91;807,48
FR;2020-09-09-2020-09-15;[00-03);02;2153747,25;511,00;16456,00;23,73;3,11;764,06
FR;2020-09-10-2020-09-16;[00-03);02;2153747,25;497,00;15676,00;23,08;3,17;727,85
FR;2020-09-11-2020-09-17;[00-03);02;2153747,25;482,00;14452,00;22,38;3,34;671,02
FR;2020-09-12-2020-09-18;[00-03);02;2153747,25;463,00;13339,00;21,50;3,47;619,34
FR;2020-09-13-2020-09-19;[00-03);02;2153747,25;456,00;12960,00;21,17;3,52;601,74
FR;2020-09-14-2020-09-20;[00-03);02;2153747,25;454,00;12753,00;21,08;3,56;592,13
FR;2020-09-15-2020-09-21;[00-03);02;2153747,25;430,00;11814,00;19,97;3,64;548,53
FR;2020-09-16-2020-09-22;[00-03);02;2153747,25;385,00;10813,00;17,88;3,56;502,06
FR;2020-09-17-2020-09-23;[00-03);02;2153747,25;355,00;9906,00;16,48;3,58;459,94
FR;2020-09-18-2020-09-24;[00-03);02;2153747,25;324,00;9028,00;15,04;3,59;419,18
FR;2020-09-19-2020-09-25;[00-03);02;2153747,25;310,00;8200,00;14,39;3,78;380,73
FR;2020-09-20-2020-09-26;[00-03);02;2153747,25;318,00;8082,00;14,76;3,93;375,25
FR;2020-09-21-2020-09-27;[00-03);02;2153747,25;317,00;7964,00;14,72;3,98;369,77
FR;2020-09-22-2020-09-28;[00-03);02;2153747,25;292,00;7488,00;13,56;3,90;347,67
FR;2020-09-23-2020-09-29;[00-03);02;2153747,25;277,00;7123,00;12,86;3,89;330,73
FR;2020-09-24-2020-09-30;[00-03);02;2153747,25;273,00;6814,00;12,68;4,01;316,38
FR;2020-09-25-2020-10-01;[00-03);02;2153747,25;288,00;6602,00;13,37;4,36;306,54
FR;2020-09-26-2020-10-02;[00-03);02;2153747,25;287,00;6461,00;13,33;4,44;299,99
FR;2020-09-27-2020-10-03;[00-03);02;2153747,25;293,00;6312,00;13,60;4,64;293,07
FR;2020-09-28-2020-10-04;[00-03);02;2153747,25;295,00;6299,00;13,70;4,68;292,47
FR;2020-09-29-2020-10-05;[00-03);02;2153747,25;316,00;6206,00;14,67;5,09;288,15
FR;2020-09-30-2020-10-06;[00-03);02;2153747,25;323,00;6179,00;15,00;5,23;286,90
FR;2020-10-01-2020-10-07;[00-03);02;2153747,25;359,00;6239,00;16,67;5,75;289,68
FR;2020-10-02-2020-10-08;[00-03);02;2153747,25;364,00;6347,00;16,90;5,73;294,70
FR;2020-10-03-2020-10-09;[00-03);02;2153747,25;385,00;6504,00;17,88;5,92;301,99
FR;2020-10-04-2020-10-10;[00-03);02;2153747,25;384,00;6558,00;17,83;5,86;304,49
